Found DRS4 evaluation board, serial #2533, firmware revision 21305
 141        1498828686280    1 495.1    21       0 -100     19.9     1 0.0469   21.3     1 0.0615   21.4    
 142        1498828687653    1 499.077  22.6     0 -100     6.5      0 -100     6.8      1 490.117  58.4    
 143        1498828703530    1 461.378  52       0 -100     6.8      0 -100     11.8     1 463.263  52.9    
 144        1498828704786    1 466.101  38.8     0 -100     7.1      0 -100     8.7      1 467.029  64.8    
 145        1498828712895    1 460.203  46.6     1 464.267  47.6     0 -100     7.7      0 -100     9.9     
 146        1498828731273    1 463.47   35.2     0 -100     8.4      0 -100     7.2      1 474.853  38.7    
 147        1498828735891    1 466.376  30.3     0 -100     9.3      1 470.248  33.9     0 -100     9.8     
 148        1498828737272    1 465.613  44.1     1 469.659  24       0 -100     8.1      0 -100     10      
 149        1498828748927    1 454      118.3    0 -100     6.6      0 -100     9.3      1 466.891  23.5    
 150        1498828760797    1 469.331  28.6     0 -100     5.4      1 459.507  40.6     1 459.502  53.2    
 151        1498828787411    1 463.371  47.5     0 -100     19.8     1 0.0469   21.5     1 0.0615   22.1    
 152        1498828788357    1 471.286  20.8     0 -100     19.4     1 1015.43  20.7     1 0.0299   20.3    
 153        1498828791791    1 462      47.9     0 -100     5.7      0 -100     8.2      1 473.018  24.7    
 154        1498828807167    1 459.969  69       0 -100     6.6      1 469.126  22.8     0 -100     9.7     
 155        1498828815478    1 463.604  34.8     0 -100     8.6      1 461.51   108.9    1 461.525  120.8   
 156        1498828830959    1 468.805  29.8     0 -100     7.8      1 465.612  20.4     0 -100     10.1    
 157        1498828832070    1 443.14   192.2    1 453.953  32.9     0 -100     11.1     0 -100     10.1    
 158        1498828843255    1 456.064  58.1     0 -100     8.5      1 465.095  23.1     0 -100     9.7     
 159        1498828847318    1 465.57   31.8     1 462.851  164.9    0 -100     8.4      0 -100     8.2     
 160        1498828852579    1 467.131  39       0 -100     8.7      1 467.146  35.9     0 -100     10      
 161        1498828857337    1 465.554  35.2     1 471.739  29.4     1 471.747  44.2     0 -100     9.7     
 162        1498828862453    1 467.913  30.9     0 -100     11.3     1 474.006  36.4     0 -100     9.8     
 163        1498828869589    1 465.601  41.9     0 -100     7.7      1 461.741  38.7     1 460.445  48.8    
 164        1498828890084    1 468.675  24.5     1 464.763  59.7     1 467.086  42.3     0 -100     9.4     
 165        1498828890568    1 461.265  59       1 460.466  149.6    1 463.188  35.1     0 -100     8.4     
 166        1498828892476    1 467.896  26.7     0 -100     18.5     1 462.231  60.3     1 462.21   63.1    
 167        1498828905933    1 464.363  44.9     0 -100     9.4      1 465.188  69.4     0 -100     11.1    
 168        1498828909901    1 466.927  22.3     0 -100     10.9     1 464.898  34.6     0 -100     9.8     
